name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
7 CMa c,7 CMa,c,2019,996.0,13.9,,"556,419",276.5,0.1027,,0,,"345,764",Multiple Observatories,Radial Velocity
70 Vir b,70 Vir,b,1996,116.69,12.6,,"504,380",2380.4,1.1869,,0,,"313,427",Lick Observatory,Radial Velocity
75 Cet b,75 Cet,b,2012,691.9,13.1,,"524,395",953.5,0.4229,,0,,"325,864",Okayama Astrophysical Observatory,Radial Velocity
8 UMi b,8 UMi,b,2015,93.4,13.6,,"544,410",416.4,0.1652,,0,,"338,302",Bohyunsan Optical Astronomical Observatory,Radial Velocity
81 Cet b,81 Cet,b,2008,952.7,12.8,,"512,386",1684.4,0.8004,,0,,"318,402",Okayama Astrophysical Observatory,Radial Velocity
91 Aqr b,91 Aqr,b,2013,181.4,13.1,,"524,395",1017.0,0.4519,,0,,"325,864",Lick Observatory,Radial Velocity
AB Pic b,AB Pic,b,2005,,12.3,,"492,371",4290.5,2.3049,,0,,"305,964",Paranal Observatory,Imaging
AU Mic b,AU Mic,b,2020,8.46,4.203,,"168,247",57.2,0.7985,,0,,"104,550",Transiting Exoplanet Survey Satellite (TESS),Transit
BD+03 2562 b,BD+03 2562,b,2017,481.9,12.7,,"508,383",2034.1,0.9909,,0,,"315,914",Multiple Observatories,Radial Velocity
BD+14 4559 b,BD+14 4559,b,2009,268.94,13.8,,"552,416",330.5,0.1254,,0,,"343,277",McDonald Observatory,Radial Velocity
BD+15 2375 b,BD+15 2375,b,2016,153.22,13.8,,"552,416",337.2,0.1279,,0,,"343,277",Roque de los Muchachos Observatory,Radial Velocity
BD+15 2940 b,BD+15 2940,b,2013,137.48,13.7,,"548,413",352.8,0.1368,,0,,"340,789",McDonald Observatory,Radial Velocity
BD+20 2457 b,BD+20 2457,b,2009,379.63,11.6,,"464,350",17668.2,11.2886,,0,,"288,552",McDonald Observatory,Radial Velocity
BD+20 2457 c,BD+20 2457,c,2009,621.99,12.4,,"496,374",3963.2,2.069,,0,,"308,452",McDonald Observatory,Radial Velocity
BD+20 274 b,BD+20 274,b,2012,578.2,13.0,,"520,392",1334.9,0.6062,,0,,"323,377",McDonald Observatory,Radial Velocity
BD+20 594 b,BD+20 594,b,2016,41.69,2.578,1040.0,"103,198",22.2,1.4319,758.0,0,,"64,128",K2,Transit
BD+48 738 b,BD+48 738,b,2011,392.6,13.9,,"556,419",289.2,0.1074,,0,,"345,764",McDonald Observatory,Radial Velocity
BD+48 740 b,BD+48 740,b,2018,733.0,13.5,,"540,407",540.3,0.2196,,0,,"335,814",Multiple Observatories,Radial Velocity
BD+49 828 b,BD+49 828,b,2015,2590.0,13.5,,"540,407",508.5,0.2069,,0,,"335,814",McDonald Observatory,Radial Velocity
BD-06 1339 b,BD-06 1339,b,2013,3.87,2.85,,"114,086",8.5,0.3666,,0,,"70,894",La Silla Observatory,Radial Velocity
BD-06 1339 c,BD-06 1339,c,2013,125.94,8.38,,"335,453",53.0,0.0898,,0,,"208,454",La Silla Observatory,Radial Velocity
BD-08 2823 b,BD-08 2823,b,2009,5.6,3.61,,"144,509",12.7,0.2686,,0,,"89,799",La Silla Observatory,Radial Velocity
BD-08 2823 c,BD-08 2823,c,2009,237.6,12.5,,"500,377",104.0,0.0532,,0,,"310,939",La Silla Observatory,Radial Velocity
BD-10 3166 b,BD-10 3166,b,2000,3.49,14.1,,"564,425",187.5,0.0668,,0,,"350,739",W. M. Keck Observatory,Radial Velocity
BD-11 4672 b,BD-11 4672,b,2014,1634.0,14.1,,"564,425",206.6,0.0735,,0,,"350,739",La Silla Observatory,Radial Velocity
BD-11 4672 c,BD-11 4672,c,2020,74.2,4.04,,"161,722",15.4,0.2323,,0,,"100,496",Roque de los Muchachos Observatory,Radial Velocity
BD-13 2130 b,BD-13 2130,b,2007,714.3,12.5,,"500,377",3108.4,1.588,,0,,"310,939",La Silla Observatory,Radial Velocity
BD-17 63 b,BD-17 63,b,2008,655.6,12.8,,"512,386",1620.9,0.7713,,0,,"318,402",La Silla Observatory,Radial Velocity
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,2011,10037.5,12.4,724.0,"496,374",3337.1,1.7459,582.0,0,,"308,452",W. M. Keck Observatory,Imaging
CHXR 73 b,CHXR 73,b,2006,,12.3,,"492,371",3994.5,2.1416,,0,,"305,964",Hubble Space Telescope,Imaging
CI Tau b,CI Tau,b,2019,8.99,12.4,,"496,374",3686.8,1.9238,,0,,"308,452",Multiple Observatories,Radial Velocity
CT Cha b,CT Cha,b,2007,,24.66,4738.0,"987,144",5403.0,0.3593,2812.0,0,,"613,421",Paranal Observatory,Imaging
CoRoT-1 b,CoRoT-1,b,2008,1.51,16.7,3474.0,"668,504",327.4,0.069,2110.0,0,,"415,415",CoRoT,Transit
CoRoT-10 b,CoRoT-10,b,2010,13.24,10.87,1138.0,"435,128",874.0,0.6715,812.0,0,,"270,393",CoRoT,Transit
CoRoT-11 b,CoRoT-11,b,2010,2.99,16.03,3040.0,"641,684",740.5,0.1797,1869.0,0,,"398,748",CoRoT,Transit
CoRoT-12 b,CoRoT-12,b,2010,2.83,16.14,2653.0,"646,087",291.4,0.0746,1654.0,0,,"401,485",CoRoT,Transit
CoRoT-13 b,CoRoT-13,b,2010,4.04,9.92,3118.0,"397,099",415.7,0.4247,1912.0,0,,"246,761",CoRoT,Transit
CoRoT-14 b,CoRoT-14,b,2010,1.51,12.22,3571.0,"489,169",2415.4,1.3249,2164.0,0,,"303,974",CoRoT,Transit
CoRoT-16 b,CoRoT-16,b,2011,5.35,13.11,,"524,796",170.0,0.0799,,0,,"326,113",CoRoT,Transit
CoRoT-17 b,CoRoT-17,b,2011,3.77,11.43,2984.0,"457,545",772.3,0.5118,1838.0,0,,"284,323",CoRoT,Transit
CoRoT-18 b,CoRoT-18,b,2011,1.9,14.68,2848.0,"587,643",1102.8,0.3993,1762.0,0,,"365,167",CoRoT,Transit
CoRoT-19 b,CoRoT-19,b,2011,3.9,14.46,3658.0,"578,836",352.8,0.1289,2212.0,0,,"359,694",CoRoT,Transit
CoRoT-2 b,CoRoT-2,b,2008,1.74,16.432,2795.0,"657,776",1102.8,0.2668,1733.0,0,,"408,748",CoRoT,Transit
CoRoT-20 b,CoRoT-20,b,2011,9.24,9.416,1901.0,"376,924",1366.7,1.6098,1236.0,0,,"234,224",CoRoT,Transit
CoRoT-20 c,CoRoT-20,c,2018,1675.0,12.2,,"488,368",5403.1,2.9764,,0,,"303,477",Multiple Observatories,Radial Velocity
CoRoT-21 b,CoRoT-21,b,2012,2.72,14.572,,"583,320",718.3,0.2468,,0,,"362,480",CoRoT,Transit
CoRoT-22 b,CoRoT-22,b,2014,9.76,4.88,1651.0,"195,347",12.2,0.0452,1097.0,0,,"121,391",CoRoT,Transit
CoRoT-23 b,CoRoT-23,b,2011,3.63,11.77,3046.0,"471,155",889.9,0.5445,1872.0,0,,"292,780",CoRoT,Transit
CoRoT-24 b,CoRoT-24,b,2014,5.11,3.7,1984.0,"148,112",5.7,0.1633,1282.0,0,,"92,038",CoRoT,Transit
CoRoT-24 c,CoRoT-24,c,2014,11.76,5.0,1588.0,"200,151",28.0,0.2359,1062.0,0,,"124,376",CoRoT,Transit
CoRoT-25 b,CoRoT-25,b,2013,4.86,12.11,2452.0,"484,765",85.8,0.0272,1542.0,0,,"301,238",CoRoT,Transit
CoRoT-26 b,CoRoT-26,b,2013,4.2,14.12,2938.0,"565,226",165.3,0.0508,1812.0,0,,"351,237",CoRoT,Transit
CoRoT-27 b,CoRoT-27,b,2014,3.58,11.287,2758.0,"451,821",3302.1,2.2868,1712.0,0,,"280,766",CoRoT,Transit
CoRoT-28 b,CoRoT-28,b,2015,5.21,10.705,,"428,523",153.8,0.1252,,0,,"266,288",CoRoT,Transit
CoRoT-29 b,CoRoT-29,b,2015,2.85,10.088,,"403,824",270.2,0.2632,,0,,"250,940",CoRoT,Transit
CoRoT-3 b,CoRoT-3,b,2008,4.26,11.32,3109.0,"453,142",6883.9,4.7913,1907.0,0,,"281,586",CoRoT,Transit
CoRoT-30 b,CoRoT-30,b,2020,9.06,11.31,,"452,741",921.7,0.6261,,0,,"281,338",CoRoT,Transit
CoRoT-31 b,CoRoT-31,b,2020,4.63,16.365,,"655,094",267.0,0.0599,,0,,"407,082",CoRoT,Transit
CoRoT-4 b,CoRoT-4,b,2008,9.2,13.34,1991.0,"534,003",228.8,0.0953,1286.0,0,,"331,834",CoRoT,Transit
CoRoT-5 b,CoRoT-5,b,2009,4.04,15.558,2646.0,"622,789",148.4,0.0394,1650.0,0,,"387,007",CoRoT,Transit
CoRoT-6 b,CoRoT-6,b,2009,8.89,13.068,1888.0,"523,114",940.7,0.4211,1229.0,0,,"325,068",CoRoT,Transit
CoRoT-7 b,CoRoT-7,b,2009,0.85,1.681,3218.0,"67,291",3.2,1.1996,1968.0,0,,"41,815",CoRoT,Transit
CoRoT-7 c,CoRoT-7,c,2009,3.7,2.83,,"113,285",8.4,0.3702,,0,,"70,397",CoRoT,Radial Velocity
CoRoT-8 b,CoRoT-8,b,2010,6.21,6.39,1624.0,"255,793",69.9,0.2904,1082.0,0,,"158,952",CoRoT,Transit
CoRoT-9 b,CoRoT-9,b,2009,95.27,11.949,814.0,"478,321",267.0,0.1561,632.0,0,,"297,233",CoRoT,Transit
CoRoTID 223977153 b,CoRoTID 223977153,b,2017,6.72,6.389,1746.0,"255,753",47.7,0.1996,1150.0,0,132.26,"158,927",CoRoT,Transit
DE CVn b,DE CVn,b,2018,4098.1,12.4,,"496,374",3823.3,1.9964,,0,,"308,452",Multiple Facilities,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,b,2013,246.36,11.9,,"476,359",9057.8,5.3539,,0,,"296,014",Paranal Observatory,Astrometry
DH Tau b,DH Tau,b,2004,,30.264,4018.0,"1,211,473",3496.0,0.1258,2412.0,0,,"752,821",Subaru Telescope,Imaging
DMPP-1 b,DMPP-1,b,2019,18.57,5.29,1636.0,"211,760",24.3,0.1635,1089.0,0,,"131,589",La Silla Observatory,Radial Velocity
DMPP-1 c,DMPP-1,c,2019,6.58,3.06,2288.0,"122,492",9.6,0.3339,1451.0,0,,"76,118",La Silla Observatory,Radial Velocity
DMPP-1 d,DMPP-1,d,2019,2.88,1.65,2995.0,"66,050",3.4,0.7441,1844.0,0,,"41,044",La Silla Observatory,Radial Velocity
DMPP-1 e,DMPP-1,e,2019,5.52,1.86,2423.0,"74,456",4.1,0.6407,1526.0,0,,"46,268",La Silla Observatory,Radial Velocity
DMPP-2 b,DMPP-2,b,2019,5.21,14.3,1858.0,"572,431",138.9,0.0474,1212.0,0,,"355,714",Multiple Facilities,Radial Velocity
DMPP-3 A b,DMPP-3 A,b,2019,6.67,1.41,1595.0,"56,443",2.6,0.9183,1066.0,0,,"35,074",La Silla Observatory,Radial Velocity
DP Leo b,DP Leo,b,2009,10220.0,12.7,,"508,383",1995.9,0.971,,0,,"315,914",Yunnan Astronomical Observatory,Eclipse Timing Variations
DS Tuc A b,DS Tuc A,b,2019,8.14,5.7,1588.0,"228,172",413.2,,1062.0,0,54.77,"141,788",Transiting Exoplanet Survey Satellite (TESS),Transit
EPIC 201238110 b,EPIC 201238110,b,2019,28.17,1.87,,"74,856",4.2,0.6352,,0,,"46,516",K2,Transit
EPIC 201497682 b,EPIC 201497682,b,2019,2.13,0.692,,"27,701",0.3,0.7822,,0,,"17,214",K2,Transit
EPIC 201615463 c,K2-166,c,2019,3.8,1.22,,"48,837",2.0,1.0871,,0,,"30,348",K2,Transit
EPIC 201754305 d,K2-16,d,2019,2.72,1.03,,"41,231",1.1,0.9855,,0,,"25,621",K2,Transit
EPIC 201833600 c,K2-50,c,2019,3.96,1.0,,"40,030",1.0,0.9691,,0,,"24,875",K2,Transit
EPIC 201841433 b,EPIC 201841433,b,2019,4.17,1.1,,"44,033",1.4,1.0272,,0,,"27,363",K2,Transit
EPIC 205950854 c,K2-168,c,2019,8.05,1.31,1787.0,"52,440",2.3,1.0073,1173.0,0,,"32,586",K2,Transit
EPIC 206024342 b,EPIC 206024342,b,2019,4.51,1.7,,"68,051",3.5,0.7169,,0,,"42,288",K2,Transit
EPIC 206032309 b,EPIC 206032309,b,2019,2.88,1.01,,"40,430",1.0,0.9782,,0,,"25,124",K2,Transit
EPIC 206042996 b,EPIC 206042996,b,2019,5.3,1.62,,"64,849",3.3,0.7641,,0,,"40,298",K2,Transit
EPIC 206215704 b,EPIC 206215704,b,2019,2.25,0.9,,"36,027",0.7,0.9111,,0,,"22,388",K2,Transit
EPIC 206317286 b,EPIC 206317286,b,2019,1.58,0.96,,"38,429",0.8,0.9474,,0,,"23,880",K2,Transit
EPIC 211822797 b,EPIC 211822797,b,2016,21.17,1.98,,"79,260",4.6,0.588,,0,3.5,"49,253",K2,Transit
EPIC 211945201 b,EPIC 211945201,b,2018,19.49,5.76,1528.0,"230,574",27.0,0.118,1029.0,0,,"143,281",K2,Transit
EPIC 212297394 b,EPIC 212297394,b,2019,2.29,1.323,,"52,960",2.3,0.9946,,0,,"32,910",K2,Transit
EPIC 212424622 b,EPIC 212424622,b,2019,18.1,2.17,,"86,865",5.4,0.5227,,0,,"53,979",K2,Transit
EPIC 212499991 b,EPIC 212499991,b,2019,34.88,1.6,,"64,048",3.2,0.7768,,0,,"39,800",K2,Transit
EPIC 212587672 b,EPIC 212587672,b,2019,15.28,1.12,,"44,834",1.5,1.0363,,0,,"27,860",K2,Transit
EPIC 212737443 b,EPIC 212737443,b,2019,13.6,2.586,1022.0,"103,518",7.2,0.4156,748.0,0,,"64,327",K2,Transit
EPIC 212737443 c,EPIC 212737443,c,2019,65.55,2.69,626.0,"107,681",7.7,0.3938,528.0,0,,"66,914",K2,Transit
EPIC 220554210 c,K2-282,c,2019,0.71,1.48,,"59,245",2.8,0.8584,,0,,"36,815",K2,Transit
EPIC 220674823 b,EPIC 220674823,b,2016,0.57,1.82,3872.0,"72,855",7.7,1.5426,2331.0,0,4293,"45,273",K2,Transit
EPIC 220674823 c,EPIC 220674823,c,2016,13.34,2.73,1391.0,"109,282",5.8,0.363,953.0,0,64,"67,909",K2,Transit
EPIC 246851721 b,EPIC 246851721,b,2018,6.18,11.781,2579.0,"471,595",953.5,0.5626,1613.0,0,642,"293,054",K2,Transit
EPIC 248847494 b,EPIC 248847494,b,2018,3650.0,12.442,387.0,"498,055",4131.8,,395.0,0,0.19,"309,496",K2,Transit
EPIC 249893012 b,EPIC 249893012,b,2020,3.6,1.95,2966.0,"78,059",8.8,1.1597,1828.0,0,1037,"48,507",K2,Transit
EPIC 249893012 c,EPIC 249893012,c,2020,15.62,3.67,1840.0,"146,911",14.7,0.294,1202.0,0,160,"91,292",K2,Transit
EPIC 249893012 d,EPIC 249893012,d,2020,35.75,3.94,1411.0,"157,719",10.2,0.1652,964.0,0,53,"98,008",K2,Transit
FU Tau b,FU Tau,b,2008,,12.2,4333.0,"488,368",5085.3,2.7949,2587.0,0,,"303,477",Spitzer Space Telescope,Imaging
G 9-40 b,G 9-40,b,2019,5.75,2.025,878.0,"81,061",4.8,0.5717,668.0,0,7.2,"50,372",K2,Transit
GJ 1061 b,GJ 1061,b,2020,3.2,1.1,,"44,033",1.4,1.0272,,0,3.8,"27,363",La Silla Observatory,Radial Velocity
GJ 1061 c,GJ 1061,c,2020,6.69,1.18,,"47,236",1.7,1.0563,,0,1.4,"29,353",La Silla Observatory,Radial Velocity
GJ 1061 d,GJ 1061,d,2020,13.03,1.16,,"46,435",1.6,1.0472,,0,0.6,"28,855",La Silla Observatory,Radial Velocity
GJ 1132 b,GJ 1132,b,2015,1.63,1.13,1010.0,"45,234",1.7,1.1434,741.0,0,,"28,109",Cerro Tololo Inter-American Observatory,Transit
GJ 1132 c,GJ 1132,c,2018,8.93,1.43,598.0,"57,243",2.6,0.9002,512.0,0,,"35,571",La Silla Observatory,Radial Velocity
GJ 1148 b,GJ 1148,b,2010,41.38,11.9,,"476,359",96.7,0.0572,,0,,"296,014",W. M. Keck Observatory,Radial Velocity
GJ 1148 c,GJ 1148,c,2017,532.58,9.71,,"388,693",68.1,0.0742,,0,,"241,538",Calar Alto Observatory,Radial Velocity
GJ 1214 b,GJ 1214,b,2009,1.58,2.847,1042.0,"113,966",6.3,0.2704,759.0,0,,"70,819",MEarth Project,Transit
GJ 1252 b,GJ 1252,b,2020,0.52,1.193,2018.0,"47,756",2.1,1.2269,1301.0,0,,"29,676",Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 1265 b,GJ 1265,b,2018,3.65,2.63,,"105,279",7.4,0.4065,,0,,"65,422",Calar Alto Observatory,Radial Velocity
GJ 143 b,GJ 143,b,2019,35.61,2.61,817.0,"104,479",22.7,1.2704,634.0,0,3.86,"64,924",Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 15 A b,GJ 15 A,b,2014,11.44,1.55,1048.0,"62,047",3.0,0.8113,762.0,0,,"38,556",W. M. Keck Observatory,Radial Velocity
GJ 15 A c,GJ 15 A,c,2018,7600.0,6.67,,"267,001",36.0,0.1211,,0,,"165,917",Roque de los Muchachos Observatory,Radial Velocity
GJ 160.2 b,GJ 160.2,b,2014,5.24,3.17,,"126,896",10.2,0.3194,,0,,"78,854",Multiple Observatories,Radial Velocity
GJ 163 b,GJ 163,b,2013,8.63,3.25,,"130,098",10.6,0.3085,,0,,"80,844",La Silla Observatory,Radial Velocity
GJ 163 c,GJ 163,c,2013,25.63,2.5,,"100,075",6.8,0.4338,,0,,"62,188",La Silla Observatory,Radial Velocity
GJ 163 d,GJ 163,d,2013,603.95,5.92,,"236,979",29.4,0.1414,,0,,"147,261",La Silla Observatory,Radial Velocity
GJ 179 b,GJ 179,b,2009,2288.0,13.9,,"556,419",260.6,0.0967,,0,,"345,764",W. M. Keck Observatory,Radial Velocity
GJ 180 b,GJ 180,b,2014,17.13,2.43,,"97,273",6.5,0.4519,,0,,"60,447",Multiple Observatories,Radial Velocity
GJ 180 c,GJ 180,c,2014,24.33,2.41,,"96,473",6.4,0.4555,,0,,"59,949",Multiple Observatories,Radial Velocity
GJ 180 d,GJ 180,d,2020,106.3,2.66,,"106,480",7.6,0.4011,,0,,"66,168",Multiple Facilities,Radial Velocity
GJ 2056 b,GJ 2056,b,2020,69.97,4.17,,"166,926",16.2,0.2232,,0,,"103,729",Multiple Observatories,Radial Velocity
GJ 229 A c,GJ 229,c,2020,122.0,2.6,,"104,078",7.3,0.412,,0,,"64,675",Multiple Facilities,Radial Velocity
GJ 229 b,GJ 229,b,2014,526.12,2.85,,"114,086",8.5,0.3648,,0,,"70,894",Multiple Observatories,Radial Velocity
GJ 27.1 b,GJ 27.1,b,2014,15.82,3.66,,"146,510",13.0,0.265,,0,,"91,043",Multiple Observatories,Radial Velocity
GJ 273 b,GJ 273,b,2017,18.65,1.51,,"60,446",2.9,0.8367,,0,1.06,"37,561",La Silla Observatory,Radial Velocity
GJ 273 c,GJ 273,c,2017,4.72,1.06,,"42,432",1.2,0.9873,,0,6.66,"26,368",La Silla Observatory,Radial Velocity
GJ 3021 b,GJ 3021,b,2000,133.71,13.1,688.0,"524,395",1071.0,0.4755,562.0,0,,"325,864",La Silla Observatory,Radial Velocity
GJ 3082 b,GJ 3082,b,2020,11.95,2.79,,"111,684",8.2,0.3757,,0,,"69,402",Multiple Facilities,Radial Velocity
GJ 3138 b,GJ 3138,b,2017,1.22,1.18,,"47,236",1.8,1.0799,,0,118.1,"29,353",La Silla Observatory,Radial Velocity
GJ 3138 c,GJ 3138,c,2017,5.97,1.88,,"75,257",4.2,0.6279,,0,13.9,"46,765",La Silla Observatory,Radial Velocity
GJ 3138 d,GJ 3138,d,2017,257.8,3.23,,"129,297",10.5,0.3103,,0,0.1,"80,347",La Silla Observatory,Radial Velocity
GJ 317 b,GJ 317,b,2007,695.66,13.3,,"532,401",794.5,0.3376,,0,,"330,839",W. M. Keck Observatory,Radial Velocity
GJ 317 c,GJ 317,c,2018,6739.32,13.5,,"540,407",522.5,0.2123,,0,,"335,814",W. M. Keck Observatory,Radial Velocity
GJ 328 b,GJ 328,b,2013,4100.0,13.3,,"532,401",731.0,0.3103,,0,,"330,839",McDonald Observatory,Radial Velocity
GJ 3293 b,GJ 3293,b,2015,30.6,5.19,,"207,757",23.5,0.1679,,0,1.07,"129,102",La Silla Observatory,Radial Velocity
GJ 3293 c,GJ 3293,c,2015,122.62,4.87,,"194,947",21.1,0.1815,,0,0.17,"121,142",La Silla Observatory,Radial Velocity
GJ 3293 d,GJ 3293,d,2017,48.13,2.67,,"106,881",7.6,0.3975,,0,0.59,"66,417",La Silla Observatory,Radial Velocity
GJ 3293 e,GJ 3293,e,2017,13.25,1.63,,"65,249",3.3,0.755,,0,3.34,"40,546",La Silla Observatory,Radial Velocity
GJ 3323 b,GJ 3323,b,2017,5.36,1.23,,"49,237",2.0,1.0817,,0,2.58,"30,596",La Silla Observatory,Radial Velocity
GJ 3323 c,GJ 3323,c,2017,40.54,1.32,,"52,840",2.3,1.0018,,0,0.17,"32,835",La Silla Observatory,Radial Velocity
GJ 3341 b,GJ 3341,b,2015,14.21,2.46,,"98,474",6.6,0.4428,,0,,"61,193",La Silla Observatory,Radial Velocity
GJ 338 B b,GJ 338 B,b,2020,24.45,3.19,761.0,"127,696",10.3,0.3158,603.0,0,,"79,352",Calar Alto Observatory,Radial Velocity
GJ 3470 b,GJ 3470,b,2012,3.34,4.57,1127.0,"182,938",13.9,0.1452,806.0,0,,"113,679",La Silla Observatory,Radial Velocity
GJ 3512 b,GJ 3512,b,2019,203.59,14.3,,"572,431",147.2,0.0503,,0,,"355,714",Calar Alto Observatory,Radial Velocity
GJ 357 b,GJ 357,b,2019,3.93,1.217,1003.0,"48,717",1.8,1.0163,737.0,0,12.6,"30,273",Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 357 c,GJ 357,c,2019,9.12,1.66,779.0,"66,450",3.4,0.7405,613.0,0,4.45,"41,293",Multiple Observatories,Radial Velocity
