exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRtAsc,StarDistance
HD 180617 b,12.201417,3.5267191,Warm,Radial Velocity,2018,Eagle,1,1,6/13/2019,289.23023,5.91
HD 181720 b,127.1312,14.024252,Warm,Radial Velocity,2009,Archer,1,1,9/6/2018,290.72076,60.31
HD 183263 b,1255.4206,12.959174,Warm,Radial Velocity,2004,Eagle,1,1,9/6/2018,292.10239,54.28
HD 187085 b,265.70421,13.87556,Warm,Radial Velocity,2006,Archer,1,1,6/27/2019,297.39154,45.96
HD 188015 b,476.742,13.523204,Warm,Radial Velocity,2004,Fox,1,1,7/23/2014,298.01892,50.74
HD 190647 b,630.88859,13.35753,Warm,Radial Velocity,2007,Archer,1,0,6/27/2019,301.83197,54.56
HD 192310 c,24.154928,5.2730951,Warm,Radial Velocity,2011,Sea Goat,1,0,7/2/2015,303.82245,8.8
HD 196050 b,1010.693,13.083405,Warm,Radial Velocity,2002,Peacock,1,0,9/6/2018,309.46545,50.75
HD 196885 b,819.99625,13.204329,Warm,Radial Velocity,2007,Dolphin,1,1,8/21/2014,309.96616,34.2
HD 197037 b,251.08412,13.910156,Warm,Radial Velocity,2012,Swan,1,0,1/31/2019,309.88733,33
HD 20782 b,472.8645,13.528064,Warm,Radial Velocity,2006,Furnace,1,1,2/7/2019,50.014908,36.02
HD 210277 b,409.99812,13.613245,Warm,Radial Velocity,1998,Water Carrier,1,1,9/6/2018,332.37445,21.31
HD 213240 b,1773.4803,12.763674,Warm,Radial Velocity,2001,Crane,1,1,9/6/2018,337.75153,40.92
HD 214823 b,6451.9085,12.058624,Warm,Radial Velocity,2016,Winged Horse,1,1,9/27/2018,340.08279,101.66
HD 216435 b,400.46328,13.627346,Warm,Radial Velocity,2002,Crane,1,1,7/23/2014,343.40805,33.01
HD 216437 b,706.53165,13.291141,Warm,Radial Velocity,2002,Indian,1,0,6/27/2019,343.66452,26.71
HD 218566 b,63.565601,9.3233728,Warm,Radial Velocity,2010,Fishes,1,1,9/6/2018,347.29471,28.85
HD 219415 b,317.828,13.766628,Warm,Radial Velocity,2012,Cassiopeia,1,1,9/18/2015,348.72428,165.97
HD 221287 b,982.08853,13.099943,Warm,Radial Velocity,2007,Toucan,1,1,5/14/2014,352.83475,56.01
HD 221585 b,511.70308,13.48116,Warm,Radial Velocity,2016,Cassiopeia,1,1,5/19/2016,353.22519,55.94
HD 222582 b,2660.2204,12.537983,Warm,Radial Velocity,1999,Water Carrier,1,1,9/6/2018,355.46472,42.21
HD 224538 b,1897.4332,12.725789,Warm,Radial Velocity,2016,Toucan,1,1,11/10/2016,359.71567,79.24
HD 23079 b,829.53109,13.197614,Warm,Radial Velocity,2001,Net,1,1,9/6/2018,54.929562,33.49
HD 23127 b,485.32336,13.512592,Warm,Radial Velocity,2006,Net,1,1,6/27/2019,54.848495,94.11
HD 23596 b,2869.9869,12.496181,Warm,Radial Velocity,2003,Perseus,1,0,9/6/2018,57.001556,52.08
HD 28185 b,1875.1852,12.732395,Warm,Radial Velocity,2001,River,1,1,9/6/2018,66.609673,39.43
HD 28254 b,368.68048,13.677019,Warm,Radial Velocity,2010,Goldfish,1,1,11/19/2014,66.211273,54.7
HD 30562 b,387.75016,13.646704,Warm,Radial Velocity,2009,River,1,1,9/6/2018,72.151604,26.18
HD 31527 d,11.823202,3.4619133,Warm,Radial Velocity,2019,Hare,1,0,2/7/2019,73.909927,38.57
HD 34445 b,260.61896,13.887363,Warm,Radial Velocity,2009,Hunter,1,1,9/6/2018,79.420746,46.15
HD 34445 f,37.821532,6.8669448,Warm,Radial Velocity,2017,Hunter,1,1,10/26/2017,79.420746,46.15
HD 38529 c,4128.5858,12.297839,Warm,Radial Velocity,2000,Hunter,1,1,12/6/2018,86.64547,42.41
HD 38801 b,3082.296,12.457004,Warm,Radial Velocity,2009,Hunter,1,0,6/27/2019,86.996567,91.68
HD 40307 g,7.0875645,2.5610495,Warm,Radial Velocity,2013,Painter's Easel,1,1,5/14/2014,88.51767,12.94
HD 4113 b,495.81168,13.499887,Warm,Radial Velocity,2007,Sculptor,1,1,12/3/2014,10.802486,41.92
HD 4203 b,708.75645,13.289303,Warm,Radial Velocity,2001,Fishes,1,0,9/6/2018,11.171676,81.57
