name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
K2-247 b,K2-247,b,2018,2.25,2.12,84864,52735,5.1,0.5372,706,1303,0,,K2,Transit
K2-247 c,K2-247,c,2018,6.49,2.19,87666,54477,5.4,0.5154,415,779,0,,K2,Transit
K2-248 b,K2-248,b,2018,7.17,2.57,102878,63929,7.1,0.4192,613,1135,0,,K2,Transit
K2-249 b,K2-249,b,2018,12.41,2.79,111684,69402,8.2,0.3757,788,1450,0,,K2,Transit
K2-25 b,K2-25,b,2015,3.48,3.43,137303,85322,11.6,0.2868,,,0,,K2,Transit
K2-250 b,K2-250,b,2018,4.01,2.44,97674,60695,6.5,0.4483,685,1265,0,,K2,Transit
K2-251 b,K2-251,b,2018,9.3,2.35,94071,58457,6.1,0.4701,164,327,0,,K2,Transit
K2-252 b,K2-252,b,2018,13.82,1.74,69653,43283,3.7,0.6969,366,691,0,,K2,Transit
K2-253 b,K2-253,b,2018,4,12.67,507182,315168,,,965,1769,0,,K2,Transit
K2-254 b,K2-254,b,2018,4.1,1.63,65249,40546,3.3,0.7568,518,964,0,,K2,Transit
K2-254 c,K2-254,c,2018,12.12,2.19,87666,54477,5.4,0.5154,278,532,0,,K2,Transit
K2-255 b,K2-255,b,2018,1.96,2.9,116088,72138,8.8,0.3575,761,1402,0,,K2,Transit
K2-256 b,K2-256,b,2018,5.52,2.63,105279,65422,7.4,0.4065,572,1062,0,,K2,Transit
K2-257 b,K2-257,b,2018,1.61,0.83,33225,20646,0.5,0.8693,516,961,0,,K2,Transit
K2-258 b,K2-258,b,2018,19.09,3,120091,74625,9.3,0.343,558,1036,0,,K2,Transit
K2-259 b,K2-259,b,2018,15.48,2.32,92870,57710,6,0.4791,522,972,0,,K2,Transit
K2-26 b,K2-26,b,2016,14.57,2.67,106881,66417,7.6,0.3993,157,315,0,5.8,K2,Transit
K2-260 b,K2-260,b,2018,2.63,17.396,696365,432728,451.3,0.0907,1684,3063,0,,K2,Transit
K2-261 b,K2-261,b,2018,11.63,9.528,381407,237010,70.9,0.0877,807,1485,0,,K2,Transit
K2-263 b,K2-263,b,2018,50.82,2.41,96473,59949,14.8,1.0345,197,387,0,,K2,Transit
K2-264 b,K2-264,b,2018,5.84,2.231,89307,55496,5.6,0.5045,223,433,0,,K2,Transit
K2-264 c,K2-264,c,2018,19.66,2.668,106801,66367,7.6,0.3993,58,136,0,,K2,Transit
K2-265 b,K2-265,b,2018,2.37,1.71,68452,42536,6.5,1.2886,,,0,,K2,Transit
K2-266 b,K2-266,b,2018,0.66,3.3,132100,82088,11.3,0.3212,1242,2268,0,879.5,K2,Transit
K2-266 c,K2-266,c,2018,7.81,0.705,28221,17537,0.3,0.8185,391,736,0,32.4,K2,Transit
K2-266 d,K2-266,d,2018,14.7,2.93,117288,72884,8.9,0.3684,265,509,0,13.95,K2,Transit
K2-266 e,K2-266,e,2018,19.48,2.73,109282,67909,14.3,0.4011,217,423,0,9.58,K2,Transit
K2-268 b,K2-268,b,2018,2.15,1.41,56443,35074,2.6,0.9147,848,1558,0,,K2,Transit
K2-268 c,K2-268,c,2018,9.33,2.69,107681,66914,7.7,0.3938,415,779,0,,K2,Transit
K2-269 b,K2-269,b,2018,4.14,1.57,62847,39054,3.1,0.7967,1156,2113,0,,K2,Transit
K2-27 b,K2-27,b,2016,6.77,4.48,179335,111441,30.9,0.3394,629,1164,0,116,K2,Transit
K2-270 b,K2-270,b,2018,1.54,1.38,55242,34328,2.5,0.9419,930,1706,0,,K2,Transit
K2-270 c,K2-270,c,2018,4.4,2.95,118089,73382,9,0.3503,575,1067,0,,K2,Transit
K2-271 b,K2-271,b,2018,8.56,7.28,291420,181091,41.8,0.108,620,1148,0,,K2,Transit
K2-272 b,K2-272,b,2018,14.45,2.91,116488,72387,8.8,0.3557,382,720,0,,K2,Transit
K2-273 b,K2-273,b,2018,11.72,4.42,176933,109948,17.9,0.2069,399,750,0,,K2,Transit
K2-274 b,K2-274,b,2018,14.13,2.2,88066,54725,5.5,0.5136,316,601,0,,K2,Transit
K2-275 b,K2-275,b,2018,3.28,2.24,89668,55720,5.6,0.5009,632,1170,0,,K2,Transit
K2-275 c,K2-275,c,2018,8.44,2.34,93671,58208,6.1,0.4737,387,729,0,,K2,Transit
K2-276 b,K2-276,b,2018,18.72,3.77,150914,93779,13.7,0.2541,310,590,0,,K2,Transit
K2-277 b,K2-277,b,2018,6.33,2.07,82862,51492,4.9,0.5554,685,1265,0,,K2,Transit
K2-278 b,K2-278,b,2018,3.33,2.98,119290,74128,9.2,0.3448,1438,2620,0,,K2,Transit
K2-279 b,K2-279,b,2018,7.12,1.21,48437,30099,1.9,1.0817,606,1123,0,,K2,Transit
K2-28 b,K2-28,b,2016,2.26,2.32,92870,57710,6,0.4791,295,563,0,30.1,K2,Transit
K2-280 b,K2-280,b,2018,19.9,7.67,307031,190792,45.6,0.1007,471,880,0,,K2,Transit
K2-281 b,K2-281,b,2018,8.69,8.18,327447,203479,50.9,0.0927,392,738,0,,K2,Transit
K2-282 b,K2-282,b,2018,4.17,2.82,112885,70148,8.4,0.3721,784,1443,0,,K2,Transit
K2-283 b,K2-283,b,2018,1.92,3.52,140906,87560,12.2,0.2795,913,1675,0,,K2,Transit
K2-284 b,K2-284,b,2018,4.8,2.78,111284,69153,8.2,0.3775,380,716,0,42.6,K2,Transit
K2-285 b,K2-285,b,2018,3.47,2.59,103678,64427,9.7,0.5572,816,1501,0,234.31,K2,Transit
K2-285 c,K2-285,c,2018,7.14,3.53,141307,87809,15.7,0.3539,468,874,0,50.35,K2,Transit
K2-285 d,K2-285,d,2018,10.46,2.48,99275,61690,6.5,,347,657,0,24.61,K2,Transit
K2-285 e,K2-285,e,2018,14.76,1.95,78059,48507,10.7,,228,442,0,10.5,K2,Transit
K2-286 b,K2-286,b,2018,27.36,2.1,84063,52238,5.1,0.5445,74,165,0,,K2,Transit
K2-287 b,K2-287,b,2018,14.89,9.494,380046,236164,100.1,0.1167,531,988,0,,K2,Transit
K2-288 B b,K2-288 B,b,2018,31.39,1.9,76057,47263,4.3,0.6207,-47,-53,2,,K2,Transit
K2-289 b,K2-289,b,2019,13.16,9.1,364275,226364,61,0.0808,480,896,0,,K2,Transit
K2-29 b,K2-29,b,2016,3.26,13.339,533962,331809,232,0.0962,898,1648,0,293,K2,Transit
K2-290 b,K2-290,b,2019,9.21,3.06,122492,76118,10.9,0.7441,957,1755,0,,K2,Transit
K2-290 c,K2-290,c,2019,48.37,11.276,451380,280492,246,0.1833,403,757,0,,K2,Transit
K2-291 b,K2-291,b,2019,2.23,1.589,63608,39527,6.5,1.6044,,,0,633,K2,Transit
K2-292 b,K2-292,b,2019,16.98,2.63,105279,65422,24.5,1.343,522,972,0,67,K2,Transit
K2-293 b,K2-293,b,2019,13.12,2.45,98074,60944,6.6,0.4446,477,891,0,,K2,Transit
K2-294 b,K2-294,b,2019,2.5,1.66,66450,41293,3.4,0.7387,1152,2106,0,,K2,Transit
K2-295 b,K2-295,b,2018,4.02,10.054,402463,250095,106.5,0.1111,579,1074,0,,K2,Transit
K2-3 b,K2-3,b,2015,10.05,1.98,79260,49253,6.5,0.6715,231,448,0,5.8,K2,Transit
K2-3 c,K2-3,c,2015,24.65,1.56,62447,38805,2.1,0.5408,101,214,0,1.77,K2,Transit
K2-3 d,K2-3,d,2015,44.56,1.53,61246,38059,2.8,1.02,9,48,2,0.8,K2,Transit
K2-30 b,K2-30,b,2016,4.1,11.646,466191,289696,184,0.1162,819,1506,0,299,K2,Transit
K2-308 b,K2-308,b,2019,3.39,9.916,396939,246662,70.6,0.0722,,,0,,K2,Transit
K2-31 b,K2-31,b,2016,1.26,11.882,475639,295566,563.8,0.3358,,,0,1272,K2,Transit
K2-315 b,K2-315,b,2020,3.14,0.95,38029,23631,0.8,0.9401,187,369,0,7.45,K2,Transit
K2-316 b,K2-316,b,2020,1.13,1.33,53240,33084,2.3,0.9873,568,1054,0,,K2,Transit
K2-316 c,K2-316,c,2020,5.26,1.83,73255,45521,4,0.6534,150,302,0,,K2,Transit
K2-317 b,K2-317,b,2020,6.22,2.93,117288,72884,8.9,0.3539,159,318,0,,K2,Transit
K2-318 b,K2-318,b,2020,7.01,1.66,66450,41293,3.4,0.7387,183,361,0,,K2,Transit
K2-319 b,K2-319,b,2020,26.68,2.79,111684,69402,8.2,0.3757,368,694,0,,K2,Transit
K2-32 b,K2-32,b,2016,8.99,4.96,198550,123381,16.5,0.1216,544,1011,0,77.7,K2,Transit
K2-32 c,K2-32,c,2016,20.66,2.74,109683,68158,12.1,0.49,346,655,0,25.6,K2,Transit
K2-32 d,K2-32,d,2016,31.71,3.27,130899,81342,10.3,0.2505,264,507,0,14.5,K2,Transit
K2-32 e,K2-32,e,2019,4.35,1.01,40430,25124,1,0.9782,,,0,,K2,Transit
K2-320 b,K2-320,b,2020,2,2.62,104879,65173,7.4,0.4083,425,797,0,,K2,Transit
K2-321 b,K2-321,b,2020,2.3,1.95,78059,48507,4.5,0.6007,428,802,0,,K2,Transit
K2-322 b,K2-322,b,2020,8.2,1.92,76858,47760,4.4,0.6134,362,684,0,,K2,Transit
K2-323 b,K2-323,b,2020,24.93,2.1,84063,52238,5.1,0.5445,45,113,0,,K2,Transit
K2-324 b,K2-324,b,2020,3.26,2.43,97273,60447,6.5,0.4501,434,813,0,,K2,Transit
K2-325 b,K2-325,b,2020,6.93,2.2,88066,54725,5.5,0.5136,150,302,0,,K2,Transit
K2-326 b,K2-326,b,2020,1.26,2.28,91269,56715,5.8,0.49,841,1546,0,,K2,Transit
K2-33 b,K2-33,b,2016,5.42,5.04,201752,125371,1176,,577,1071,0,,K2,Transit
K2-34 b,K2-34,b,2016,3,13.96,558821,347257,539.7,0.1706,1286,2347,0,,K2,Transit
K2-35 b,K2-35,b,2016,5.61,1.93,77258,48009,4.4,0.608,706,1303,0,68,K2,Transit
K2-35 c,K2-35,c,2016,2.4,1.32,52840,32835,2.3,0.9982,493,919,0,211,K2,Transit
K2-36 b,K2-36,b,2016,1.42,1.43,57243,35571,3.9,1.3067,951,1744,0,529,K2,Transit
K2-36 c,K2-36,c,2016,5.34,3.2,128097,79600,7.8,0.2359,515,959,0,90,K2,Transit
K2-37 b,K2-37,b,2016,4.44,1.61,64449,40049,3.2,0.7695,701,1294,0,213.3,K2,Transit
K2-37 c,K2-37,c,2016,6.43,2.75,110083,68407,8,0.3829,588,1090,0,130.3,K2,Transit
K2-37 d,K2-37,d,2016,14.09,2.73,109282,67909,7.9,0.3866,390,734,0,45.7,K2,Transit
K2-38 b,K2-38,b,2016,4.02,1.906,76298,47412,19.1,3.176,911,1672,0,465.9,K2,Transit
K2-38 c,K2-38,c,2016,10.56,2.42,96873,60198,9.9,0.6534,585,1085,0,128.3,K2,Transit
K2-39 b,K2-39,b,2016,4.61,6.277,251269,156141,28.6,0.0907,1397,2547,0,1356,K2,Transit
K2-4 b,K2-4,b,2015,10,2.1,84063,52238,5.1,0.5445,290,554,0,15.6,K2,Transit
K2-42 b,K2-42,b,2016,6.69,2.15,86065,53482,5.3,0.5281,,,0,44.1,K2,Transit
K2-43 b,K2-43,b,2016,3.47,4.51,180536,112187,18.5,0.2015,666,1231,0,49,K2,Transit
K2-43 c,K2-43,c,2019,2.2,2.42,96873,60198,6.4,0.4537,821,1510,0,,K2,Transit
K2-44 b,K2-44,b,2016,5.66,2.72,108882,67660,7.8,0.3884,938,1720,0,646,K2,Transit
K2-45 b,K2-45,b,2016,1.73,6.71,268602,166912,36.4,0.1201,,,0,100,K2,Transit
K2-46 b,K2-46,b,2016,19.15,2.05,82062,50994,4.9,0.5626,616,1141,0,119,K2,Transit
K2-47 b,K2-47,b,2016,31.64,1.89,75657,47014,4.2,0.6243,,,0,10.7,K2,Transit
K2-48 b,K2-48,b,2016,20.51,2.24,89668,55720,5.6,0.5009,,,0,15.3,K2,Transit
K2-49 b,K2-49,b,2016,2.77,1.93,77258,48009,4.4,0.608,,,0,59,K2,Transit
K2-5 b,K2-5,b,2015,5.74,1.91,76458,47511,4.3,0.6171,292,558,0,24.1,K2,Transit
K2-5 c,K2-5,c,2015,10.93,2.26,90468,56218,5.7,0.4955,183,361,0,10.2,K2,Transit
K2-50 b,K2-50,b,2016,8.75,1.59,63648,39551,3.2,0.7822,,,0,18.8,K2,Transit
K2-52 b,K2-52,b,2016,3.54,18,720543,447752,45700,7.8221,1731,3148,0,1124,K2,Transit
K2-53 b,K2-53,b,2016,12.21,2.6,104078,64675,7.3,0.412,392,738,0,52.5,K2,Transit
K2-54 b,K2-54,b,2016,9.78,1.15,46035,28606,1.6,1.049,,,0,6.1,K2,Transit
K2-55 b,K2-55,b,2016,2.85,3.82,152915,95023,14,0.2505,,,0,115,K2,Transit
K2-57 b,K2-57,b,2016,9.01,2.1,84063,52238,5.1,0.5445,,,0,24.1,K2,Transit
K2-58 b,K2-58,b,2016,7.05,2.68,107281,66665,7.6,0.3956,,,0,118,K2,Transit
K2-58 c,K2-58,c,2016,2.54,1.62,64849,40298,3.3,0.7641,,,0,462,K2,Transit
K2-58 d,K2-58,d,2016,22.88,1.71,68452,42536,3.6,0.7114,,,0,24.6,K2,Transit
K2-59 b,K2-59,b,2016,20.69,2.41,96473,59949,6.4,0.4555,,,0,17.1,K2,Transit
K2-59 c,K2-59,c,2016,11.3,2.3,92069,57213,5.9,0.4828,,,0,38.3,K2,Transit
K2-6 b,K2-6,b,2015,30.94,2.5,100075,62188,6.8,0.4338,342,648,0,28.6,K2,Transit
K2-60 b,K2-60,b,2016,3,7.656,306471,190444,135.4,0.3085,1127,2061,0,1212,K2,Transit
K2-61 b,K2-61,b,2016,2.57,2.48,99275,61690,6.7,0.4392,,,0,1686,K2,Transit
K2-62 b,K2-62,b,2016,6.67,2.14,85665,53233,5.2,0.5318,,,0,66,K2,Transit
K2-62 c,K2-62,c,2016,16.2,2.14,85665,53233,5.2,0.5318,,,0,20.5,K2,Transit
K2-63 b,K2-63,b,2016,20.26,3.22,128897,80098,10.5,0.314,,,0,188,K2,Transit
K2-63 c,K2-63,c,2016,25.46,3.9,156118,97013,14.5,0.2432,,,0,139,K2,Transit
K2-64 b,K2-64,b,2016,6.53,2.07,82862,51492,4.9,0.5554,,,0,98,K2,Transit
K2-65 b,K2-65,b,2016,12.65,1.58,63248,39303,3.1,0.7895,,,0,45,K2,Transit
K2-66 b,K2-66,b,2016,5.07,2.49,99675,61939,21.3,1.4156,1099,2010,0,840,K2,Transit
K2-68 b,K2-68,b,2016,8.05,1.58,63248,39303,3.1,0.7895,,,0,41,K2,Transit
K2-69 b,K2-69,b,2016,7.07,2.32,92870,57710,6,0.4791,,,0,17.9,K2,Transit
K2-7 b,K2-7,b,2015,28.68,2.67,106881,66417,7.6,0.3993,378,712,0,125,K2,Transit
K2-70 b,K2-70,b,2016,13.98,2.89,115687,71889,8.7,0.3593,,,0,62,K2,Transit
K2-71 b,K2-71,b,2016,6.99,2.15,86065,53482,5.3,0.5281,,,0,13.4,K2,Transit
K2-72 b,K2-72,b,2016,5.58,1.08,43233,26865,1.3,1.0127,,,0,8.5,K2,Transit
K2-72 c,K2-72,c,2016,15.19,1.16,46435,28855,1.6,1.0544,,,0,2.2,K2,Transit
K2-72 d,K2-72,d,2016,7.76,1.01,40430,25124,1,0.9782,,,0,5.4,K2,Transit
K2-72 e,K2-72,e,2016,24.16,1.29,51639,32089,2.2,1.0272,,,1,1.2,K2,Transit
K2-73 b,K2-73,b,2016,7.5,2.45,98074,60944,6.6,0.4446,,,0,213,K2,Transit
K2-74 b,K2-74,b,2016,19.57,2.31,92470,57462,6,0.4809,,,0,59.1,K2,Transit
K2-75 b,K2-75,b,2016,7.81,2.67,106881,66417,7.6,0.3993,,,0,430,K2,Transit
K2-75 c,K2-75,c,2016,18.31,2.77,110884,68904,8.1,0.3793,,,0,138,K2,Transit
K2-77 b,K2-77,b,2016,8.2,2.3,92069,57213,603.9,,,,0,58,K2,Transit
K2-79 b,K2-79,b,2016,11,3.69,147711,91789,13.2,0.2613,,,0,186,K2,Transit
K2-8 b,K2-8,b,2015,10.35,3.58,143308,89053,12.5,0.2722,358,676,0,37.7,K2,Transit
K2-8 c,K2-8,c,2016,5.06,2.41,96473,59949,6.4,0.4555,528,982,0,97.8,K2,Transit
K2-80 b,K2-80,b,2016,19.09,2.01,80461,49999,4.7,0.5771,,,0,32.5,K2,Transit
K2-80 c,K2-80,c,2016,5.6,1.47,58844,36566,2.8,0.8657,,,0,166,K2,Transit
K2-80 d,K2-80,d,2018,28.87,2.552,102157,63481,7,0.4229,,,0,,K2,Transit
K2-81 b,K2-81,b,2016,6.1,1.97,78859,49004,4.5,0.5917,,,0,62.9,K2,Transit
K2-83 b,K2-83,b,2016,2.75,1.244,49798,30945,2.1,1.078,,,0,41.5,K2,Transit
K2-83 c,K2-83,c,2016,10,1.483,59365,36890,2.8,0.8566,,,0,7.42,K2,Transit
K2-84 b,K2-84,b,2016,6.42,2.41,96473,59949,6.4,0.4555,,,0,178,K2,Transit
K2-84 c,K2-84,c,2016,27.86,2.03,81261,50497,4.8,0.5699,,,0,25.3,K2,Transit
K2-85 b,K2-85,b,2016,0.68,1.01,40430,25124,1,0.9782,,,0,479,K2,Transit
K2-86 b,K2-86,b,2016,8.78,1.96,78459,48755,4.5,0.5953,,,0,78,K2,Transit
K2-87 b,K2-87,b,2016,9.73,7.6,304229,189051,44.9,0.102,706,1303,0,85,K2,Transit
K2-88 b,K2-88,b,2016,4.61,1.23,49237,30596,2,1.0926,,,0,7.8,K2,Transit
K2-89 b,K2-89,b,2016,1.1,0.615,24619,15298,0.2,0.7296,,,0,78,K2,Transit
K2-9 b,K2-9,b,2015,18.45,2.25,90068,55969,5.7,0.4973,41,106,2,1.36,K2,Transit
K2-90 b,K2-90,b,2016,13.73,2.6,104078,64675,7.3,0.412,229,444,0,10.2,K2,Transit
K2-90 c,K2-90,c,2016,2.9,1.3,52039,32338,2.2,1.0163,,,0,80.8,K2,Transit
K2-91 b,K2-91,b,2016,1.42,1.1,44033,27363,1.4,1.0272,,,0,46,K2,Transit
K2-95 b,K2-95,b,2016,10.13,3.88,155317,96516,14.3,0.245,110,230,0,,K2,Transit
K2-97 b,K2-97,b,2016,8.41,10.61,424720,263925,152.6,0.1274,1226,2239,0,,K2,Transit
K2-98 b,K2-98,b,2016,10.14,5.2,208157,129351,32.2,0.3902,819,1506,0,,K2,Transit
K2-99 b,K2-99,b,2016,18.25,11.73,469554,291785,308.3,0.1906,840,1544,0,,K2,Transit
KELT-1 b,KELT-1,b,2012,1.22,12.442,498055,309496,8654.2,4.4828,,,0,,KELT,Transit
KELT-10 b,KELT-10,b,2016,4.17,15.681,627713,390067,215.8,0.0559,1104,2019,0,600,KELT-South,Transit
KELT-11 b,KELT-11,b,2017,4.74,15.132,605737,376410,54.3,0.0169,1439,2622,0,1433,KELT-South,Transit
KELT-12 b,KELT-12,b,2017,5.03,19.952,798682,496309,301.9,0.0379,1527,2781,0,1749,KELT-North,Transit
KELT-14 b,KELT-14,b,2016,1.71,19.537,782070,485985,408.1,0.0584,1697,3087,0,,KELT-South,Transit
KELT-15 b,KELT-15,b,2016,3.33,19.504,780749,485165,416.4,0.0653,1369,2496,0,,KELT-South,Transit
KELT-16 b,KELT-16,b,2017,0.97,15.861,634919,394544,874,0.2178,2180,3956,0,,KELT,Transit
KELT-17 b,KELT-17,b,2016,3.08,17.094,684276,425215,416.4,0.0835,1814,3297,0,,KELT,Transit
KELT-18 b,KELT-18,b,2017,2.87,17.598,704451,437753,375,0.0684,1812,3294,0,3152,KELT-North,Transit
KELT-19 A b,KELT-19 A,b,2017,4.61,21.409,857006,532552,1293.6,0.135,1662,3024,0,2340,KELT,Transit
KELT-2 A b,KELT-2 A,b,2012,4.11,15.132,605737,376410,540.3,0.1652,,,0,,KELT,Transit
KELT-20 b,KELT-20,b,2017,3.47,19.515,781189,485438,1074.9,0.1463,1989,3612,0,4362.5,KELT-North,Transit
KELT-21 b,KELT-21,b,2018,3.61,17.777,711616,442205,1242.7,0.225,1778,3232,0,2950,KELT-North,Transit
KELT-23 A b,KELT-23 A,b,2019,2.26,14.83,593647,368898,298.1,0.0913,1288,2350,0,991.18,KELT-North,Transit
KELT-24 b,KELT-24,b,2019,5.55,14.258,570750,354670,1646.4,0.5681,1186,2167,0,750.9,KELT-North,Transit
KELT-3 b,KELT-3,b,2013,2.7,17.486,699968,434967,616.6,0.1361,1543,2809,0,,KELT,Transit
KELT-4 A b,KELT-4 A,b,2016,2.99,19.044,762335,473722,286.7,0.0414,1550,2822,0,,KELT,Transit
KELT-6 b,KELT-6,b,2014,7.85,14.572,583320,362480,165.3,0.0564,1040,1904,0,,KELT,Transit
KELT-6 c,KELT-6,c,2015,1276,13,520392,323377,1179.1,0.5354,,,0,,Multiple Observatories,Radial Velocity
KELT-7 b,KELT-7,b,2015,2.73,17.934,717901,446111,441.8,0.0802,1775,3227,0,,KELT,Transit
KELT-8 b,KELT-8,b,2015,3.24,18.159,726908,451707,209.8,0.0303,1402,2556,0,,KELT,Transit
KELT-9 b,KELT-9,b,2017,1.48,21.196,848480,527253,915.4,0.0962,3777,6831,0,44900,KELT-North,Transit
KIC 10001893 b,KIC 10001893,b,2014,0.22,,0,0,,,,,0,,Kepler,Orbital Brightness Modulation
KIC 10001893 c,KIC 10001893,c,2014,0.33,,0,0,,,,,0,,Kepler,Orbital Brightness Modulation
KIC 10001893 d,KIC 10001893,d,2014,0.81,,0,0,,,,,0,,Kepler,Orbital Brightness Modulation
KIC 10525077 b,KIC 10525077,b,2015,854.08,5.5,220166,136813,25.9,0.1552,,,0,,Kepler,Transit
KIC 3558849 b,KIC 3558849,b,2015,1322.3,6.9,276208,171638,38.1,0.1156,,,0,,Kepler,Transit
KIC 5095269 b,KIC 5095269,b,2017,237.69,12.6,504380,313427,2445.1,1.2196,,,0,,Kepler,Eclipse Timing Variations
KIC 5437945 b,KIC 5437945,b,2015,440.78,6.4,256193,159201,33.6,0.1278,35,95,0,2.14,Kepler,Transit
KIC 5951458 b,KIC 5951458,b,2015,1320.1,6.6,264199,164176,35.4,0.1229,,,0,,Kepler,Transit
KIC 7917485 b,KIC 7917485,b,2016,840,12.4,496374,308452,3750.4,1.9601,,,0,,Kepler,Pulsation Timing Variations
KIC 8540376 b,KOI-7892,b,2015,31.81,4.1,164124,101988,15.8,0.2287,,,0,,Kepler,Transit
KIC 8540376 c,KOI-7892,c,2015,75.2,2.4,96072,59700,6.4,0.4574,,,0,,Kepler,Transit
KIC 9663113 b,KIC 9663113,b,2015,572.38,4.6,184139,114426,19.2,0.196,-9,16,0,3.36,Kepler,Transit
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,b,2018,,12.2,488368,303477,5700,3.1216,,,0,,KMTNet,Microlensing
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,b,2019,,13.1,524395,325864,1043,0.4628,,,0,,KMTNet,Microlensing
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,b,2018,,12.7,508383,315914,2200,1.0708,,,0,,KMTNet,Microlensing
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,b,2018,,12.9,516389,320889,1450,0.6733,,,0,,KMTNet,Microlensing
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,b,2019,,13.3,532401,330839,700,0.2958,,,0,,KMTNet,Microlensing
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,b,2018,,12.2,488368,303477,4923,2.7042,,,0,,KMTNet,Microlensing
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,b,2018,,6.45,258195,160445,34,0.1263,,,0,,KMTNet,Microlensing
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,b,2019,,13.4,536404,333327,640,0.265,,,0,,KMTNet,Microlensing
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,b,2019,,14,560422,348252,230,0.0837,,,0,,KMTNet,Microlensing
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,b,2020,,2.67,106881,66417,7.6,0.3975,,,0,,KMTNet,Microlensing
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,b,2020,,12.9,516389,320889,1400,0.6497,,,0,,KMTNet,Microlensing
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,b,2019,,12.9,516389,320889,111,0.0515,,,0,,KMTNet,Microlensing
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,b,2020,,13.7,548413,340789,397,0.1539,,,0,,KMTNet,Microlensing
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,b,2020,,14.1,564425,350739,200,0.0711,,,0,,KMTNet,Microlensing
KOI-12 b,KOI-12,b,2015,17.86,13.787,551896,342953,349.6,0.133,638,1180,0,196.51,Kepler,Transit
KOI-1257 b,KOI-1257,b,2014,86.65,10.54,421918,262184,460.8,0.3811,238,460,0,7.28,Kepler,Transit
KOI-13 b,KOI-13,b,2011,1.76,16.948,678431,421584,2949.5,0.6534,2277,4131,0,25339.9,Kepler,Transit
KOI-142 b,KOI-142,b,2013,10.92,3.438,137624,85521,9.5,0.2341,485,905,0,68.56,Kepler,Transit
KOI-142 c,KOI-142,c,2013,22.26,14,560422,348252,214.1,0.0779,,,0,,Kepler,Transit
KOI-1599.01,KOI-1599,c,2019,20.44,1.9,76057,47263,4.6,0.6697,387,729,0,44.8,Kepler,Transit
KOI-1599.02,KOI-1599,b,2019,13.61,1.9,76057,47263,9,1.3085,482,900,0,76.81,Kepler,Transit
KOI-1783.01,KOI-1783,b,2020,134.46,8.86,354667,220394,71,0.1016,139,282,0,5.7,Kepler,Transit
KOI-1783.02,KOI-1783,c,2020,284.21,5.44,217764,135321,15,0.0926,48,118,0,2.49,Kepler,Transit
KOI-217 b,KOI-217,b,2010,3.91,12.442,498055,309496,,,773,1423,0,272.03,Kepler,Transit
KOI-351 b,KOI-351,b,2013,7.01,1.31,52440,32586,2.3,1.0073,789,1452,0,316.44,Kepler,Transit
KOI-351 c,KOI-351,c,2013,8.72,1.19,47636,29601,1.8,1.0708,714,1317,0,236.31,Kepler,Transit
KOI-351 d,KOI-351,d,2013,59.74,2.87,114887,71392,8.6,0.363,247,477,0,18.17,Kepler,Transit
KOI-351 e,KOI-351,e,2013,91.94,2.66,106480,66168,7.6,0.4011,177,351,0,10.23,Kepler,Transit
KOI-351 f,KOI-351,f,2013,124.91,2.88,115287,71640,8.6,0.3612,134,273,0,6.8,Kepler,Transit
KOI-351 g,KOI-351,g,2013,210.61,8.1,324244,201489,254.3,,69,156,0,3.39,Kepler,Transit
KOI-351 h,KOI-351,h,2013,331.6,11.3,452341,281089,381.4,,21,70,0,1.85,Kepler,Transit
KOI-3680 b,KOI-3680,b,2018,141.24,11.097,444215,276039,613.4,0.4465,74,165,0,3.62,Kepler,Transit
KOI-55 b,KOI-55,b,2011,0.24,0.759,30383,18880,0.4,1.0036,,,0,,Kepler,Orbital Brightness Modulation
KOI-55 c,KOI-55,c,2011,0.34,0.867,34706,21567,0.7,1.0018,,,0,,Kepler,Orbital Brightness Modulation
KOI-94 b,KOI-94,b,2013,3.74,1.71,68452,42536,10.5,1.833,1213,2215,0,1053.18,Kepler,Transit
KOI-94 c,KOI-94,c,2013,10.42,4.32,172930,107461,15.6,0.1652,739,1362,0,268.22,Kepler,Transit
KOI-94 d,KOI-94,d,2013,22.34,11.27,451140,280343,106,0.0659,533,991,0,97.12,Kepler,Transit
KOI-94 e,KOI-94,e,2013,54.32,6.56,262598,163181,35,0.1089,311,592,0,29.7,Kepler,Transit
