name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,habzone,temp_c,temp_f,temp_class,type,disc_facility,disc_method,star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
K2-126 b,K2-126,b,2017,7.39,1.97,"78,859","49,004",4.5,0.5917,35.3,0.0,0.0,328.0,622.0,Hot,Superterran,K2,Transit,K2-126,,4339,0.65,0.69,-0.878,4.66,,2.903,47.99356,318.5584,102.953,1,1,0
K2-127 b,K2-127,b,2017,3.59,8.37,"335,053","208,205",52.9,0.09,105.6,0.0,0.0,536.0,997.0,Hot,Jovian,K2,Transit,K2-127,,4575,0.66,0.72,-0.254,4.65,,2.211,48.89732,324.4018,709.999,1,1,0
K2-128 b,K2-128,b,2017,5.68,1.42,"56,843","35,323",2.6,0.9056,68.8,0.0,0.0,,,Hot,Terran,K2,Transit,K2-128,,4469.51,0.78,0.71,-0.766,4.7,,3.00478,52.5533,321.9814,114.637,1,1,0
K2-129 b,K2-129,b,2017,8.24,1.04,"41,631","25,870",1.1,0.9927,4.5,0.0,0.0,,,Hot,Terran,K2,Transit,K2-129,,3459.09,0.36,0.36,-1.828,4.87,,10.66281,-16.57279,12.14487,27.7957,1,1,0
K2-13 b,K2-13,b,2015,39.91,1.89,"75,657","47,014",4.2,0.6243,22.8,0.0,0.0,238.0,460.0,Hot,Superterran,K2,Transit,K2-13,,5698,0.78,0.8,-0.238,4.33,,,57.1562,257.6171,342.394,1,1,0
K2-130 b,K2-130,b,2017,2.49,1.25,"50,038","31,094",2.1,1.0726,136.4,0.0,0.0,,,Hot,Terran,K2,Transit,K2-130,,4356.47,0.74,0.7,-0.776,4.62,,2.72247,-15.17222,18.25716,118.011,1,1,0
K2-131 b,K2-131,b,2017,0.37,1.7,"68,051","42,288",6.3,1.3975,,0.0,0.0,1789.0,3252.0,Hot,Superterran,K2,Transit,K2-131,,5245,0.75,0.84,-0.448,4.61,,2.71,51.82621,286.6808,152.509,1,1,0
K2-132 b,K2-132,b,2017,9.18,14.572,"583,320","362,480",155.7,0.0503,,0.0,0.0,1313.0,2395.0,Hot,Jovian,K2,Transit,K2-132,,4840,3.85,1.08,0.943,3.3,8.5,0.0264,52.65698,285.3342,609.818,1,1,0
K2-133 b,K2-133,b,2017,3.07,1.34,"53,640","33,333",2.4,0.9782,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-133,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,1,4,0
K2-133 c,K2-133,c,2017,4.87,1.603,"64,168","39,875",3.2,0.775,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-133,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,1,4,0
K2-133 d,K2-133,d,2017,11.02,2.003,"80,180","49,825",4.7,0.5789,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-133,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,1,4,0
K2-133 e,K2-133,e,2019,26.58,1.73,"69,252","43,034",3.6,0.7005,1.8,0.0,0.0,23.0,73.0,Hot,Superterran,K2,Transit,K2-133,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,1,4,0
K2-136 b,K2-136,b,2017,7.98,0.99,"39,630","24,626",0.9,0.9637,,0.0,0.0,280.0,536.0,Hot,Terran,K2,Transit,K2-136,K5.5,4499,0.66,0.74,-0.788,4.66,,3.52,-17.3508,174.775,59.2474,2,3,0
K2-136 c,K2-136,c,2017,17.31,2.91,"116,488","72,387",8.8,0.3557,11.9,0.0,0.0,152.0,306.0,Hot,Neptunian,K2,Transit,K2-136,K5.5,4499,0.66,0.74,-0.788,4.66,,3.52,-17.3508,174.775,59.2474,2,3,0
K2-136 d,K2-136,d,2017,25.58,1.45,"58,044","36,069",2.7,0.8838,,0.0,0.0,100.0,212.0,Hot,Terran,K2,Transit,K2-136,K5.5,4499,0.66,0.74,-0.788,4.66,,3.52,-17.3508,174.775,59.2474,2,3,0
K2-137 b,K2-137,b,2017,0.18,0.89,"35,627","22,139",158.9,,,0.0,0.0,1198.0,2188.0,Hot,Jovian,K2,Transit,K2-137,M3 V,3492,0.44,0.46,-1.58,4.82,,13,56.17622,292.1928,98.8765,1,1,0
K2-138 b,K2-138,b,2017,2.35,1.57,"62,847","39,054",3.1,0.7967,486,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-138,K1 V,5378,0.86,0.93,-0.253,4.59,,,-62.23884,64.21599,202.585,1,5,0
K2-138 c,K2-138,c,2017,3.56,2.52,"100,876","62,685",6.9,0.4301,279,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-138,K1 V,5378,0.86,0.93,-0.253,4.59,,,-62.23884,64.21599,202.585,1,5,0
K2-138 d,K2-138,d,2017,5.4,2.66,"106,480","66,168",7.6,0.4011,160,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-138,K1 V,5378,0.86,0.93,-0.253,4.59,,,-62.23884,64.21599,202.585,1,5,0
K2-138 e,K2-138,e,2017,8.26,3.29,"131,699","81,839",10.8,0.3031,91.1,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-138,K1 V,5378,0.86,0.93,-0.253,4.59,,,-62.23884,64.21599,202.585,1,5,0
K2-138 f,K2-138,f,2017,12.76,2.81,"112,485","69,899",8.3,0.3739,51,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-138,K1 V,5378,0.86,0.93,-0.253,4.59,,,-62.23884,64.21599,202.585,1,5,0
K2-139 b,K2-139,b,2017,28.38,9.11,"364,675","226,612",123.0,0.1652,,0.0,0.0,251.0,484.0,Hot,Jovian,K2,Transit,K2-139,K0 V,5370,0.88,0.96,-0.236,4.54,1.8,2.477,-13.40272,19.45001,153.856,1,1,0
K2-14 b,K2-14,b,2015,8.37,4.81,"192,545","119,649",20.7,0.1851,8,0.0,0.0,215.0,419.0,Hot,Neptunian,K2,Transit,K2-14,,3789,0.45,0.47,-1.031,4.61,,3.2418,61.66755,270.399,364.048,1,1,0
K2-140 b,K2-140,b,2017,6.57,12.25,"490,370","304,720",323.9,0.1748,188.5,0.0,0.0,684.0,1263.0,Hot,Jovian,K2,Transit,K2-140,G5,5705,0.99,1,-0.049,4.45,4.22,1.477,52.97973,295.1843,347.917,1,1,0
K2-141 b,K2-141,b,2018,0.28,1.51,"60,446","37,561",5.1,1.4882,,0.0,0.0,1766.0,3211.0,Hot,Superterran,K2,Transit,K2-141,K7 V,4599,0.68,0.71,-0.75,4.62,6.3,3.164,-56.59508,80.19793,61.8736,1,2,0
K2-141 c,K2-141,c,2018,7.75,7.0,"280,211","174,126",7.4,,,0.0,0.0,,,Hot,Jovian,K2,Transit,K2-141,K7 V,4599,0.68,0.71,-0.75,4.62,6.3,3.164,-56.59508,80.19793,61.8736,1,2,0
K2-146 b,K2-146,b,2018,2.64,2.05,"82,062","50,994",5.8,0.6697,20.7,0.0,0.0,261.0,502.0,Hot,Superterran,K2,Transit,K2-146,M3.0 V,3385,0.33,0.33,-1.89,4.9,5,13.1,32.2191,206.5274,79.3002,1,2,0
K2-146 c,K2-146,c,2019,4.0,2.19,"87,666","54,477",7.5,0.7114,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-146,M3.0 V,3385,0.33,0.33,-1.89,4.9,5,13.1,32.2191,206.5274,79.3002,1,2,0
K2-147 b,K2-147,b,2018,0.96,1.38,"55,242","34,328",2.5,0.9419,200.1,0.0,0.0,,,Hot,Terran,K2,Transit,K2-147,,3672,0.55,0.58,-1.292,4.72,,,-21.49691,10.94488,90.5494,1,1,0
K2-148 b,K2-148,b,2018,4.38,1.33,"53,240","33,084",2.3,0.9873,48.8,0.0,0.0,,,Hot,Terran,K2,Transit,K2-148,,4079,0.63,0.65,-0.996,4.65,,,-63.01779,126.5889,124.458,2,3,0
K2-148 c,K2-148,c,2018,6.92,1.73,"69,252","43,034",3.6,0.7005,26.5,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-148,,4079,0.63,0.65,-0.996,4.65,,,-63.01779,126.5889,124.458,2,3,0
K2-148 d,K2-148,d,2018,9.76,1.64,"65,649","40,795",3.3,0.7532,16.8,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-148,,4079,0.63,0.65,-0.996,4.65,,,-63.01779,126.5889,124.458,2,3,0
K2-149 b,K2-149,b,2018,11.33,1.64,"65,649","40,795",3.3,0.7532,7,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-149,M1.0 V,3745,0.57,0.59,-1.31,4.71,,,-55.46908,117.6112,123.676,1,1,0
K2-15 b,K2-15,b,2015,11.81,2.48,"99,275","61,690",6.7,0.4392,48,0.0,0.0,403.0,757.0,Hot,Superterran,K2,Transit,K2-15,,5131,0.68,0.72,-0.539,4.57,,,63.14119,268.7422,493.992,1,1,0
K2-150 b,K2-150,b,2018,10.59,2.0,"80,060","49,750",4.7,0.5808,4.9,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-150,M2.5 V,3499,0.44,0.46,-1.585,4.82,,,-53.4948,132.063,102.483,1,1,0
K2-151 b,K2-151,b,2018,3.84,1.49,"59,645","37,064",2.8,0.853,20.8,0.0,0.0,293.0,559.0,Hot,Terran,K2,Transit,K2-151,M1.5 V,3695,0.45,0.47,-1.553,4.8,,6.736,-52.8409,133.4932,69.4798,2,1,0
K2-152 b,K2-152,b,2018,32.65,2.29,"91,669","56,964",5.9,0.4864,2.9,0.0,0.0,64.0,147.0,Hot,Superterran,K2,Transit,K2-152,M0.0 V,4044,0.61,0.63,-1.06,4.67,,3.49448,55.30055,283.0409,108.449,1,1,0
K2-153 b,K2-153,b,2018,7.52,2.0,"80,060","49,750",4.7,0.5808,11.8,0.0,0.0,224.0,435.0,Hot,Superterran,K2,Transit,K2-153,M3.0 V,3845,0.53,0.55,-1.367,4.73,,4.87969,63.43683,282.3504,143.125,1,1,0
K2-154 b,K2-154,b,2018,3.68,1.99,"79,660","49,502",4.6,0.5844,57.5,0.0,0.0,442.0,828.0,Hot,Superterran,K2,Transit,K2-154,M0.0 V,4097,0.63,0.65,-1.018,4.65,,3.24997,59.97081,295.2137,129.356,1,2,0
K2-154 c,K2-154,c,2018,7.95,2.07,"82,862","51,492",4.9,0.5554,20.5,0.0,0.0,279.0,534.0,Hot,Superterran,K2,Transit,K2-154,M0.0 V,4097,0.63,0.65,-1.018,4.65,,3.24997,59.97081,295.2137,129.356,1,2,0
K2-155 b,K2-155,b,2018,6.34,1.8,"72,054","44,775",3.9,0.6661,19.9,0.0,0.0,435.0,815.0,Hot,Superterran,K2,Transit,K2-155,,4258,0.58,0.65,-1.229,4.6,,5.41,-19.71299,174.7485,72.7998,1,3,0
K2-155 c,K2-155,c,2018,13.85,2.6,"104,078","64,675",7.3,0.412,7,0.0,0.0,310.0,590.0,Hot,Neptunian,K2,Transit,K2-155,,4258,0.58,0.65,-1.229,4.6,,5.41,-19.71299,174.7485,72.7998,1,3,0
K2-155 d,K2-155,d,2018,40.72,1.9,"76,057","47,263",4.3,0.6207,1.67,0.0,0.0,108.0,226.0,Hot,Superterran,K2,Transit,K2-155,,4258,0.58,0.65,-1.229,4.6,,5.41,-19.71299,174.7485,72.7998,1,3,0
K2-156 b,K2-156,b,2018,0.81,1.15,"46,035","28,606",1.6,1.049,,0.0,0.0,1074.0,1965.0,Hot,Terran,K2,Transit,K2-156,,4597,0.66,0.66,-0.798,4.62,,2.68452,55.16116,285.0595,150.21,1,1,0
K2-157 b,K2-157,b,2018,0.37,1.055,"42,232","26,243",1.2,1.0,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-157,,5456,0.88,0.94,-0.212,4.55,,,55.93047,286.6038,298.373,1,1,0
K2-158 b,K2-158,b,2018,10.06,2.64,"105,680","65,670",7.5,0.4047,,0.0,0.0,521.0,970.0,Hot,Neptunian,K2,Transit,K2-158,,5503,0.95,0.92,-0.157,4.45,,1.57526,54.85284,280.1985,197.299,1,2,0
K2-158 c,K2-158,c,2018,5.9,1.28,"51,239","31,840",2.2,1.0363,,0.0,0.0,675.0,1247.0,Hot,Terran,K2,Transit,K2-158,,5503,0.95,0.92,-0.157,4.45,,1.57526,54.85284,280.1985,197.299,1,2,0
K2-159 b,K2-159,b,2018,12.42,2.26,"90,468","56,218",5.7,0.4955,,0.0,0.0,411.0,772.0,Hot,Superterran,K2,Transit,K2-159,,5425,0.83,0.9,-0.289,4.56,,2.7842,57.06849,279.8729,170.998,1,1,0
K2-16 b,K2-16,b,2015,7.62,2.02,"80,861","50,248",4.7,0.5735,44.5,0.0,0.0,385.0,725.0,,Superterran,K2,Transit,K2-16,,,,0.67,-0.702,,,,61.77707,262.9119,334.967,1,3,0
K2-16 c,K2-16,c,2015,19.08,2.54,"101,677","63,183",7.0,0.4247,13.1,0.0,0.0,212.0,414.0,,Neptunian,K2,Transit,K2-16,,,,0.67,-0.702,,,,61.77707,262.9119,334.967,1,3,0
K2-160 b,K2-160,b,2018,3.71,3.178,"127,216","79,053",10.2,0.3176,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-160,,5649,0.91,0.98,-0.115,4.61,,,58.1628,286.0968,315.363,1,1,0
K2-161 b,K2-161,b,2018,9.28,6.117,"244,865","152,161",31.1,0.1356,,0.0,0.0,,,Hot,Jovian,K2,Transit,K2-161,,4972,2.57,0.99,0.561,3.63,,,58.15008,285.5922,916.319,1,1,0
K2-162 b,K2-162,b,2018,9.46,1.44,"57,643","35,820",2.7,0.8911,,0.0,0.0,358.0,676.0,Hot,Terran,K2,Transit,K2-162,,4842,0.69,0.75,-0.61,4.63,,1.97721,61.00699,288.7513,124.433,1,1,0
K2-163 b,K2-163,b,2018,6.67,2.466,"98,714","61,342",6.6,0.4428,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-163,,4937,0.76,0.83,-0.507,4.71,,,60.53671,281.1217,208.529,1,1,0
K2-164 b,K2-164,b,2018,17.36,3.249,"130,058","80,819",10.6,0.3085,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-164,,5791,2.2,1.18,0.69,3.81,,,56.17967,263.014,375.67,1,1,0
K2-165 b,K2-165,b,2018,2.35,1.274,"50,998","31,691",2.2,1.0454,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-165,,5185,0.8,0.83,-0.375,4.46,,,62.74729,285.3337,134.591,1,3,0
K2-165 c,K2-165,c,2018,4.38,1.554,"62,207","38,656",3.0,0.8058,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-165,,5185,0.8,0.83,-0.375,4.46,,,62.74729,285.3337,134.591,1,3,0
K2-165 d,K2-165,d,2018,14.1,2.648,"106,000","65,869",7.5,0.4029,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-165,,5185,0.8,0.83,-0.375,4.46,,,62.74729,285.3337,134.591,1,3,0
K2-166 b,K2-166,b,2018,8.53,2.19,"87,666","54,477",5.4,0.5154,,0.0,0.0,867.0,1593.0,,Superterran,K2,Transit,K2-166,,,,1.07,,,,,64.09021,285.1586,476.882,1,2,0
K2-167 b,K2-167,b,2018,9.98,2.819,"112,845","70,123",8.3,0.3721,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-167,,5908,1.83,1.02,0.566,3.88,,,-55.41164,40.4596,80.8994,1,1,0
K2-168 b,K2-168,b,2018,15.85,1.86,"74,456","46,268",4.1,0.6388,,0.0,0.0,493.0,919.0,Hot,Superterran,K2,Transit,K2-168,,5502.7,0.83,0.88,-0.244,,,,-51.71317,40.91085,243.935,1,2,0
K2-169 b,K2-169,b,2018,6.38,1.273,"50,958","31,666",2.2,1.0436,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-169,,5548,0.92,0.99,-0.141,4.56,,,-54.4227,46.19647,235.867,1,1,0
K2-17 b,K2-17,b,2015,17.97,2.23,"89,267","55,472",5.6,0.5027,4.91,0.0,0.0,214.0,417.0,Hot,Superterran,K2,Transit,K2-17,,4320,0.66,0.71,-0.91,4.8,,2.41242,65.10211,266.6195,125.106,1,1,0
K2-170 b,K2-170,b,2018,7.58,1.418,"56,763","35,273",2.6,0.9093,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-170,,5748,0.98,0.96,-0.023,4.34,,,-53.03643,45.05433,392.872,1,2,0
K2-170 c,K2-170,c,2018,12.4,1.802,"72,134","44,825",3.9,0.6642,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-170,,5748,0.98,0.96,-0.023,4.34,,,-53.03643,45.05433,392.872,1,2,0
K2-171 b,K2-171,b,2018,5.63,2.687,"107,561","66,839",7.7,0.3956,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-171,,5250,1.72,0.89,0.306,3.95,,,-49.8148,44.5974,606.128,1,1,0
K2-172 b,K2-172,b,2018,14.32,1.666,"66,690","41,442",3.4,0.7368,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-172,,5569,0.87,0.93,-0.184,4.61,,,-51.98496,47.92918,249.742,1,2,0
K2-172 c,K2-172,c,2018,29.63,3.206,"128,337","79,750",10.4,0.314,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-172,,5569,0.87,0.93,-0.184,4.61,,,-51.98496,47.92918,249.742,1,2,0
K2-173 b,K2-173,b,2018,5.87,1.608,"64,369","39,999",3.2,0.7713,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-173,,5580,0.84,0.88,-0.06,4.52,,1.38095,-27.13326,175.8745,228.641,1,1,0
K2-174 b,K2-174,b,2018,19.56,2.6,"104,078","64,675",7.3,0.412,,0.0,0.0,182.0,360.0,Hot,Neptunian,K2,Transit,K2-174,,4455,0.68,0.7,-0.773,4.62,,3.21,-26.34909,175.5818,99.9293,1,1,0
K2-175 b,K2-175,b,2018,9.53,2.038,"81,581","50,696",4.8,0.5662,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-175,,5909,1.42,1.09,0.346,4.11,,,-31.03311,168.1504,247.266,1,1,0
K2-176 b,K2-176,b,2018,5.33,1.491,"59,685","37,089",2.8,0.8512,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-176,,5428,0.86,0.94,-0.233,4.63,,,-27.02183,172.4568,247.302,1,1,0
K2-177 b,K2-177,b,2018,14.16,2.116,"84,704","52,636",5.1,0.539,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-177,,6063,1.21,1.21,0.254,4.38,,,-26.96771,167.9359,492.167,1,1,0
K2-178 b,K2-178,b,2018,8.75,3.558,"142,427","88,506",12.4,0.274,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-178,,5525,0.89,0.95,-0.179,4.55,,,-27.12157,164.8408,214.753,1,1,0
K2-179 b,K2-179,b,2018,5.17,2.513,"100,596","62,511",6.9,0.4319,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-179,,5015,0.77,0.82,-0.523,4.63,,3.34951,-22.5069,168.3229,190.81,1,1,0
K2-18 b,K2-18,b,2015,32.94,2.37,"94,872","58,954",8.9,0.7459,1,2.0,1.0,11.0,52.0,Warm,Superterran,K2,Transit,K2-18,M2.5 V,3457,0.41,0.36,-1.66,4.79,,7.07318,62.57575,254.6324,38.0266,1,2,0
K2-18 c,K2-18,c,2017,8.96,2.65,"106,080","65,919",7.5,0.4029,,0.0,0.0,90.0,194.0,Hot,Superterran,La Silla Observatory,Radial Velocity,K2-18,M2.5 V,3457,0.41,0.36,-1.66,4.79,,7.07318,62.57575,254.6324,38.0266,1,2,0
K2-180 b,K2-180,b,2018,8.87,2.31,"92,470","57,462",6.0,0.4809,,0.0,0.0,458.0,856.0,Hot,Superterran,K2,Transit,K2-180,,5358,0.72,0.72,-0.439,4.58,,3.375,25.5819,214.2884,203.896,1,1,0
K2-181 b,K2-181,b,2018,6.89,2.84,"113,686","70,645",8.4,0.3684,,0.0,0.0,689.0,1272.0,Hot,Neptunian,K2,Transit,K2-181,,5608,1.07,0.99,-0.013,4.38,,2.639,26.8338,214.1269,360.911,1,1,0
K2-182 b,K2-182,b,2018,4.74,2.76,"110,483","68,655",8.0,0.3811,,0.0,0.0,612.0,1134.0,Hot,Neptunian,K2,Transit,K2-182,,5165,0.8,0.88,-0.392,4.58,,2.256,29.20076,215.2885,154.83,1,1,0
K2-183 b,K2-183,b,2018,0.47,2.599,"104,038","64,650",7.3,0.412,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-183,,5482,0.87,0.94,-0.207,4.6,,,25.84831,209.8224,329.041,1,3,0
K2-183 c,K2-183,c,2018,10.79,2.87,"114,887","71,392",8.6,0.363,,0.0,0.0,514.0,957.0,Hot,Neptunian,K2,Transit,K2-183,,5482,0.87,0.94,-0.207,4.6,,,25.84831,209.8224,329.041,1,3,0
K2-183 d,K2-183,d,2018,22.63,2.86,"114,486","71,143",8.6,0.3648,,0.0,0.0,342.0,648.0,Hot,Neptunian,K2,Transit,K2-183,,5482,0.87,0.94,-0.207,4.6,,,25.84831,209.8224,329.041,1,3,0
K2-184 b,K2-184,b,2018,17.0,1.55,"62,047","38,556",3.0,0.8094,,0.0,0.0,307.0,585.0,Hot,Superterran,K2,Transit,K2-184,,5220,0.78,0.86,-0.399,4.59,,6.966,29.69931,211.1662,75.5857,1,1,0
K2-185 b,K2-185,b,2018,10.62,1.313,"52,560","32,661",2.3,1.0054,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-185,,5722,0.91,0.98,-0.092,4.58,,,30.7852,211.4171,268.357,1,1,0
K2-186 b,K2-186,b,2018,41.47,3.172,"126,976","78,904",10.2,0.3194,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-186,,5784,0.98,1.02,-0.013,4.45,,,36.83021,208.9596,330.739,1,1,0
K2-187 b,K2-187,b,2018,0.77,1.3,"52,039","32,338",2.2,1.0163,,0.0,0.0,1542.0,2808.0,Hot,Terran,K2,Transit,K2-187,,5484,0.92,0.98,-0.161,4.5,,,35.76411,202.7771,330.916,1,4,0
K2-187 c,K2-187,c,2018,2.87,1.8,"72,054","44,775",3.9,0.6661,,0.0,0.0,900.0,1652.0,Hot,Superterran,K2,Transit,K2-187,,5484,0.92,0.98,-0.161,4.5,,,35.76411,202.7771,330.916,1,4,0
K2-187 d,K2-187,d,2018,7.15,3.17,"126,896","78,854",10.2,0.3194,,0.0,0.0,592.0,1098.0,Hot,Neptunian,K2,Transit,K2-187,,5484,0.92,0.98,-0.161,4.5,,,35.76411,202.7771,330.916,1,4,0
K2-187 e,K2-187,e,2018,13.61,2.38,"95,272","59,203",6.3,0.4628,,0.0,0.0,425.0,797.0,Hot,Superterran,K2,Transit,K2-187,,5484,0.92,0.98,-0.161,4.5,,,35.76411,202.7771,330.916,1,4,0
K2-188 b,K2-188,b,2018,1.74,1.35,"54,041","33,581",2.4,0.9691,,0.0,0.0,1419.0,2586.0,Hot,Terran,K2,Transit,K2-188,,5977,1.19,1.06,0.212,4.31,,,33.44485,201.6599,446.821,1,2,0
K2-188 c,K2-188,c,2018,7.81,2.83,"113,285","70,397",8.4,0.3702,,0.0,0.0,753.0,1387.0,Hot,Neptunian,K2,Transit,K2-188,,5977,1.19,1.06,0.212,4.31,,,33.44485,201.6599,446.821,1,2,0
K2-189 b,K2-189,b,2018,2.59,1.52,"60,846","37,810",2.9,0.8294,,0.0,0.0,924.0,1695.0,Hot,Superterran,K2,Transit,K2-189,,5519,0.87,0.94,-0.198,4.53,,,46.56067,318.1368,242.113,1,2,0
K2-189 c,K2-189,c,2018,6.68,2.5,"100,075","62,188",6.8,0.4338,,0.0,0.0,599.0,1110.0,Hot,Superterran,K2,Transit,K2-189,,5519,0.87,0.94,-0.198,4.53,,,46.56067,318.1368,242.113,1,2,0
K2-19 b,K2-19,b,2015,7.92,7.74,"309,834","192,534",28.5,0.0606,125.9,0.0,0.0,581.0,1078.0,Hot,Jovian,K2,Transit,K2-19,G9 V,5430,0.86,0.93,-0.237,4.63,8,1.76,58.39358,267.0294,289.827,1,3,0
K2-19 c,K2-19,c,2015,11.91,4.86,"194,547","120,893",15.9,0.1706,73.1,0.0,0.0,472.0,882.0,Hot,Neptunian,K2,Transit,K2-19,G9 V,5430,0.86,0.93,-0.237,4.63,8,1.76,58.39358,267.0294,289.827,1,3,0
K2-19 d,K2-19,d,2016,2.51,1.14,"45,634","28,358",14.0,9.3285,583.5,0.0,0.0,979.0,1794.0,Hot,Terran,K2,Transit,K2-19,G9 V,5430,0.86,0.93,-0.237,4.63,8,1.76,58.39358,267.0294,289.827,1,3,0
K2-190 b,K2-190,b,2018,10.1,1.357,"54,321","33,756",2.4,0.9619,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-190,,5631,0.91,0.9,-0.122,4.38,,1.4816,47.92216,321.2683,160.679,1,2,0
K2-190 c,K2-190,c,2018,21.57,1.093,"43,753","27,189",1.3,1.0236,,0.0,0.0,,,Hot,Terran,K2,Transit,K2-190,,5631,0.91,0.9,-0.122,4.38,,1.4816,47.92216,321.2683,160.679,1,2,0
K2-191 b,K2-191,b,2018,2.86,1.579,"63,208","39,278",3.1,0.7913,,0.0,0.0,,,Hot,Superterran,K2,Transit,K2-191,,5176,0.84,0.9,-0.345,4.57,,1.65547,49.16592,316.0893,287.188,1,1,0
K2-192 b,K2-192,b,2018,4.16,1.52,"60,846","37,810",2.9,0.8294,,0.0,0.0,666.0,1231.0,Hot,Superterran,K2,Transit,K2-192,,5222,0.81,0.9,-0.36,4.57,,5.975,49.08741,323.7182,221.753,1,1,0
K2-193 b,K2-193,b,2018,14.79,3.95,"158,119","98,257",14.8,0.2396,,0.0,0.0,466.0,871.0,Hot,Neptunian,K2,Transit,K2-193,,5817,0.98,1.01,-0.076,4.46,,1.532,50.01605,322.0458,411.923,1,1,0
K2-194 b,K2-194,b,2018,39.72,3.642,"145,790","90,595",12.9,0.2668,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-194,,5979,1.28,1.11,0.363,4.21,,0.75033,52.188,322.0871,629.51,1,1,0
K2-195 b,K2-195,b,2018,15.85,3.13,"125,294","77,859",10.0,0.323,,0.0,0.0,447.0,837.0,Hot,Neptunian,K2,Transit,K2-195,,5713,0.99,0.94,-0.103,4.42,,1.09,53.72714,314.6392,315.014,1,2,0
K2-195 c,K2-195,c,2018,28.48,2.576,"103,118","64,078",7.2,0.4174,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-195,,5713,0.99,0.94,-0.103,4.42,,1.09,53.72714,314.6392,315.014,1,2,0
K2-196 b,K2-196,b,2018,48.32,3.6,"144,109","89,550",12.6,0.2686,,0.0,0.0,,,Hot,Neptunian,K2,Transit,K2-196,,6045,1.54,1.16,0.455,4.08,,,53.64647,315.6757,584.877,1,1,0
K2-197 b,K2-197,b,2018,8.36,2.56,"102,477","63,680",7.1,0.4211,,0.0,0.0,575.0,1067.0,Hot,Neptunian,K2,Transit,K2-197,,5667,0.93,1,-0.114,4.5,,1.16,54.28318,319.2748,247.637,1,1,0
K2-198 b,K2-198,b,2018,17.04,4.189,"167,686","104,202",16.3,0.2214,,0.0,0.0,443.0,829.0,Hot,Neptunian,K2,Transit,K2-198,,5212.9,0.76,0.8,-0.401,4.6,,2.59636,55.91102,313.5832,110.567,1,3,0
K2-198 c,K2-198,c,2019,3.36,1.423,"56,963","35,397",2.6,0.9038,,0.0,0.0,957.0,1755.0,Hot,Terran,K2,Transit,K2-198,,5212.9,0.76,0.8,-0.401,4.6,,2.59636,55.91102,313.5832,110.567,1,3,0
K2-198 d,K2-198,d,2019,7.45,2.438,"97,594","60,646",6.5,0.4483,,0.0,0.0,670.0,1238.0,Hot,Superterran,K2,Transit,K2-198,,5212.9,0.76,0.8,-0.401,4.6,,2.59636,55.91102,313.5832,110.567,1,3,0
