star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
K2-208,,5582,0.86,0.93,-0.186,4.62,,,-60.96429,139.4219,256.887,1,1,0
K2-209,,4720,0.71,0.74,-0.644,4.46,,,-61.43346,126.7625,76.4986,1,1,0
K2-21,M0.0,4222.06,0.65,0.68,-0.985,4.83,1,3.1676,-57.17911,48.9365,83.6448,1,2,0
K2-210,,5396,0.85,0.91,-0.256,4.55,,,-60.92629,132.8054,176.51,1,1,0
K2-211,,5221,0.82,0.88,-0.351,4.6,,,-60.09223,139.6426,272.297,1,1,0
K2-212,,4272,0.65,0.67,-0.896,4.64,,4.445,-59.30161,133.8637,109.218,1,1,0
K2-213,,5794,1.2,1.07,0.169,4.25,,,-59.36279,123.482,389.702,1,1,0
K2-214,,5854,1.27,1.05,0.233,4.25,,1.08,-58.58343,126.7923,300.64,1,1,0
K2-215,,5704,0.97,1,-0.043,4.41,,,-56.30743,133.0243,403.964,1,1,0
K2-216,K5 V,4503,0.72,0.7,-0.721,4.57,,2.3,-56.49815,120.4479,115.461,1,1,0
K2-217,,5967,1.33,1.1,0.308,4.17,,,-56.35621,120.1315,381.878,1,1,0
K2-218,,5757,1.01,1.05,0.003,4.45,,,-56.02525,122.8434,394.083,1,1,0
K2-219,,5753,1.19,1.02,0.145,4.23,,,-54.00411,122.908,325.4,1,3,0
K2-22,M0 V,3830,0.57,0.6,-1.113,4.65,,3.65548,56.81604,256.532,243.836,2,1,0
K2-220,,5660,1.02,0.96,-0.016,4.4,,3.061,-53.35484,122.7839,233.514,1,1,0
K2-221,,5716,0.95,1.01,-0.063,4.57,,,-52.50086,129.0758,318.81,1,1,0
K2-222,,6058,1.09,1,0.159,4.37,,1.25,-50.9614,128.5374,101.321,1,1,0
K2-223,,5835,0.99,1.06,0,4.48,,1.55082,51.87885,290.8381,198.604,1,2,0
K2-224,,5620,0.84,0.91,-0.217,4.55,,2.73527,52.68535,297.8024,275.255,1,2,0
K2-225,,5742,1.7,1.27,0.433,4.08,,0.21992,52.73963,292.6081,357.778,1,1,0
K2-226,,5424,0.91,0.88,-0.246,4.47,,1.72343,52.23671,287.9908,211.265,1,1,0
K2-227,,5673,0.89,0.95,-0.13,4.58,,,54.34531,299.6882,187.234,1,1,0
K2-228,,4715,0.65,0.71,-0.849,4.66,,4.35191,55.61271,293.1165,129.46,1,1,0
K2-229,,5315,0.79,0.87,-0.383,4.59,5.4,2.38,55.65726,292.3529,102.564,1,2,0
K2-230,,5945,1.39,1.11,0.339,4.2,,0.64706,56.26452,300.2547,540.773,1,1,0
K2-231,,5695,0.95,1.01,-0.067,4.48,3,,-12.52788,21.4538,321.215,1,1,0
K2-232,,6154,1.16,1.19,0.238,4.38,1.43,0.782,-15.31655,182.071,130.72,1,1,0
K2-233,K3,4950,0.74,0.8,-0.523,4.71,0.36,,30.24868,344.4642,67.5062,1,3,0
K2-237,F9 V,6099,1.38,1.23,0.376,4.27,2.55,0.663,9.233558,353.8713,314.995,1,1,0
K2-238,G2 V,5630,1.59,1.19,0.36,4.11,5.63,0.0775,-59.35657,67.22734,537.963,1,1,0
K2-239,M3.0 V,3420,0.36,0.4,-1.796,4.9,,,51.7774,243.5904,31.0849,1,3,0
K2-24,G9 V,5625,1.16,1.07,0.158,4.29,5.1,0.89,19.20524,349.9997,170.562,1,2,0
K2-240,M0.5 V,3810,0.54,0.58,-1.276,4.7,,,33.63943,343.8917,72.9105,1,2,0
K2-241,,5262,0.75,0.71,-0.441,4.54,,3.10999,54.25011,282.9129,149.464,1,1,0
K2-242,,3459,0.37,0.38,-1.808,4.89,,10.34168,54.06965,280.502,109.237,1,1,0
K2-243,,6570,1.39,1.29,0.446,4.26,,0.35249,56.02181,281.6669,266.864,1,2,0
K2-244,,5677,0.92,0.86,-0.097,4.44,,2.1153,57.73899,285.1741,212.902,1,1,0
K2-245,,5793,1.25,0.83,0.193,4.16,,1.0187,60.34379,287.2729,456.064,1,1,0
K2-246,,5610,0.94,0.87,-0.141,4.43,,1.68077,59.71571,280.2202,703.616,1,1,0
K2-247,,4667,0.69,0.74,-0.833,4.63,,2.0381,52.60412,296.4941,258.113,1,2,0
K2-248,,5528,0.92,0.88,-0.171,4.45,,1.82647,52.18235,286.6383,406.254,1,1,0
K2-249,,6504,1.57,1.32,0.366,4.16,,0.31728,52.7225,287.3303,521.716,1,1,0
K2-25,M4.5,3180,0.29,0.29,-2.076,4.94,,15.9,-25.29302,178.2553,44.9565,1,1,0
K2-250,,5172,0.81,0.8,-0.404,4.53,,1.89682,53.10691,289.9825,414.708,1,1,0
K2-251,,3717,0.49,0.52,-1.415,4.76,,5.7438,54.27385,299.2546,147.03,1,1,0
K2-252,,5152,0.82,0.79,-0.402,4.5,,2.04024,53.13188,285.453,228.839,1,1,0
K2-253,,6027,1.1,1.08,-0.072,4.39,,1.01569,55.85731,290.8763,876.565,1,1,0
K2-254,,4629,0.67,0.71,-0.765,4.64,,2.71073,57.38034,289.3288,227.775,1,2,0
